Name,Country,Occupation,Hobby,Phone no,Age,Gender (0 = male and 1 = female),Genre
Ga-in,JAPAN,Database administrator,Astronomy,9823401239,43,1,VOCAL
Ga-yoon,JAPAN,Medical Sonographer,Wine Tasting,9022314445,23,1,KPOP
Eun-sook,AUSTRALIA,High School Teacher,Embroidery,9080403251,23,1,KPOP
Miles Graber,RUSSIA,Research Analyst,Jewelry Making,8712334440,30,0,VOCAL
Dick Manger,RUSSIA,Bus Driver,Fantasy Sports,9022314445,31,0,DISCO
Abhiraksa Naeem,INDIA,Sports Coach,Bowling,8889023176,56,1,VOCAL
Abhiti Soma,SPAIN,Drafter,Poker and Cards,8712334440,34,1,DISCO
Dewayne Goldston,RUSSIA,Paralegal,Chess,7634219382,33,0,DISCO
Nicholas Bugg,COLOMBIA,Database administrator,Puzzles,8889023176,37,0,VOCAL
Burton Gagnon,COLOMBIA,Bus Driver,Watchmaking,6578833332,20,0,KPOP
Abhramu Malini,SPAIN,Patrol Officer,Survival,8932954021,76,1,ACOUSTIC
Amardeep Dibyendu,INDIA,Statistician,Wet Shaving,2189443647,32,1,DANCE
Annanya Shvetank,INDIA,Mathematician,Camping,4487294729,54,1,ACOUSTIC
Dion Gavin,BRAZIL,Desktop publisher,Boxing,6923109933,31,0,DISCO
Jeff Landes,FINLAND,Lawyer,Archery,9022314445,27,0,DISCO
Deangelo Wikoff,FINLAND,Veterinarian,Music Producing,8932954021,30,0,EDM
Sung-sook,SOUTH AFRICA,Epidemiologist,Archery,7798231102,34,1,DISCO
Mi-rae,SOUTH AFRICA,Mechanical Engineer,Jewelry Making,8889023176,78,1,ACOUSTIC
Clark Agee,CANADA,Economist,Chess,8932954021,20,0,KPOP
Lalisa Manoban,THAILAND,Insurance Agent,Coaching,9987415301,21,1,KPOP
Merle Swager,GERMANY,Real Estate Agent,Magic,8712334440,34,0,DISCO
Anthony Meigs,CHINA,Paralegal,Fantasy Sports,7843221097,35,0,VOCAL
Basanti Yogendra,INDIA,Logistician,Genealogy,9040302218,15,1,EDM
Bayya Kittur,INDIA,Economist,Interior design,6923109933,33,1,DISCO
Chandra Dhupam,SOUTH AFRICA,Laboratory Technician,Biking,8755437129,67,1,ACOUSTIC
Humberto Torrey,GREECE,Repair Worker,Knitting,7634219382,87,0,FOLK
Dipa Parul,INDIA,Housekeeper,Darts,7798231102,98,1,ACOUSTIC
Damian Bently,POLAND,Executive Assistant,Chess,6923109933,21,0,KPOP
Emil Booe,POLAND,Auto Mechanic,Investing,9924771209,53,0,FOLK
Gajagamani Tumkur,NIGERIA,Editor,Geocaching,8932954021,44,1,VOCAL
Gunamaya Viresh,INDIA,Personal Care Aide,Knife Making,6578833332,22,1,KPOP
Gunavini Rangaswamy,INDIA,Interpreter & Translator,Cooking and Grilling,4487294729,103,1,ACOUSTIC
Bart Holmquist,SPAIN,Lawyer,Drawing,8889023176,67,0,FOLK
Harley Shumaker,GREECE,Photographer,Calligraphy,7798231102,45,0,VOCAL
Jaiman Ramchander,INDIA,Teacher Assistant,Sailing and Canoeing,7864321190,23,1,EDM
Jasalina Laddha,INDIA,Construction Manager,Pottery,7843221097,12,1,EDM
Otis Oquinn,UK,Automotive mechanic,Coaching,6758433219,39,0,VOCAL
Johnathon Gu,RUSSIA,Food Scientist,Fishing,7745983245,45,0,VOCAL
Clair Denham,RUSSIA,Judge,Rock collecting,8932954021,60,0,FOLK
Donovan Dickerson,JAPAN,Educator,Photography,9022314445,23,0,KPOP
Eun-young,JAPAN,Microbiologist,Paintball,6578833332,12,1,EDM
Eunseo,JAPAN,Childcare worker,Fashion Design,8712334440,21,1,KPOP
Joe Rabideau,UK,Executive Assistant,Fishing,7843221097,30,0,DISCO
Kanyana Saunak,SOUTH AFRICA,Systems Analyst,Meditation,7798231102,45,1,VOCAL
Antony Gerst,UK,Fitness Trainer,Origami,8932954021,27,0,DISCO
Derrick Cosby,FRANCE,Dentist,Flying,6923109933,70,0,FOLK
Shayne Ramer,FRANCE,Bus Driver,Gold Panning,7798231102,12,0,EDM
Karkari Sujeev,AUSTRALIA,School Counselor,Collecting,9924771209,87,1,ACOUSTIC
Kasu Amroliwallah,AUSTRALIA,Social Worker,Foreign Languages,9823401239,43,1,VOCAL
Rohena Lahiri,INDIA,Professional athlete,Painting and Drawing,6578833332,22,1,KPOP
Debasis Sundhararajan,SOUTH AFRICA,Logistician,Snorkeling,6002314789,89,0,FOLK
Shanta Salagame,INDIA,Artist,Fantasy Sports,9022314445,12,1,EDM
Devasru Subramanyan,INDIA,Financial Advisor,Painting and Drawing,4487294729,35,0,VOCAL
Sharad Buhpathi,INDIA,Court Reporter,Playing Tennis,6578833332,7,1,DANCE
Ae-jung,KOREA,Epidemiologist,Bowling,7798231102,22,1,KPOP
Dharmadhrt Ramila,INDIA,Court Reporter,Organizing,8712334440,24,0,KPOP
Dhritiman Salim,ITALY,Pathologist,Dancing,7798231102,11,0,EDM
Ah-seong,KOREA,Architect,Puzzles,8932954021,76,1,ACOUSTIC
Kyung-ja,SOUTH AFRICA,Radiologic Technologist,Canning,9924771209,45,1,VOCAL
Gopa Trilochana,INDIA,Interpreter & Translator,Camping,6002314789,78,0,FOLK
Kyung-ok,KOREA,School Counselor,Rebounding,8889023176,34,1,DISCO
Kyung-sook,KOREA,Interpreter & Translator,Yoga,6578833332,67,1,ACOUSTIC
Hardeep Suksma,INDIA,Childcare worker,Gardening,9823401239,32,0,DISCO
Jayadev Mitali,INDIA,Educator,Wine Tasting,8889023176,23,0,KPOP
Vijai Sritharan,INDIA,School Teacher,Woodworking,8712334440,92,0,FOLK
Kalyanavata Veerender,INDIA,Economist,Foreign Languages,8874833920,7,0,DANCE
Naveen Tikaram,BURMA,Electrical Engineer,Embroidery,6923109933,78,0,FOLK
Su-mi,KOREA,Bookkeeping clerk,Paintball,9022314445,26,1,DISCO
Jitendra Choudhary,BURMA,Software Developer,Fishing,4487294729,12,0,EDM
Sung-mi,KOREA,Zoologist,Tattooing,8712334440,36,1,VOCAL
Beom-seok,KENYA,Physician,Sailing and Canoeing,7764937487,40,0,VOCAL
Beom-soo,SUDAN,Hairdresser,Writing,4487294729,31,0,DISCO
Sun-ok,USA,Respiratory Therapist,Fashion Design,7866548790,28,1,DISCO
Anderson Mease,YEMEN,Architect,Floral Arranging,8932954021,24,0,KPOP
Theo Kravitz,SPAIN,Art Director,Watchmaking,9924771209,58,0,FOLK
Kent Villalon,POLAND,Bus Driver,Wine Tasting,9044578832,59,0,FOLK
Dino Gowers,GERMANY,Cost Estimator,Yoga,8997435623,43,0,VOCAL
Boonsri,KOREA,Occupational Therapist,Chess,9924771209,31,1,DISCO
Kim-Jisoo,KOREA,Designer,Bodybuilding,9924771209,23,1,KPOP
Rob Gildersleeve,AUSTRALIA,Architect,Homebrewing Beer,8712334440,18,0,KPOP
Hye-young,AUSTRALIA,Architect,Currency Collecting,7798231102,45,1,VOCAL
Maximo Hailey,INDIA,Police Officer,Auto Racing,7843221097,76,0,FOLK
Marc Barahona,INDIA,Teacher,Auto Racing,6578833332,10,0,EDM
Benedict Eisenmenger,YEMEN,Food Scientist,Classic Car Restoration,8712334440,21,0,KPOP
Ji-eun,JAPAN,Respiratory Therapist,Martial Arts,9823401239,102,1,ACOUSTIC
Byung-chul,SUDAN,Event Planner,Golfing,9823401239,43,0,VOCAL
Hye-won,SOUTH AFRICA,Hairdresser,Wine Tasting,9084567398,87,1,ACOUSTIC
Il-sung,KOREA,Insurance Agent,Blogging,8712334440,23,0,KPOP
In-sik,KOREA,Budget analyst,Mosaic Art,6578833332,12,0,EDM
Ki-ha,INDIA,Registered Nurse,Wine Tasting,7798231102,65,0,FOLK
Ki-jung,INDIA,Economist,Whittling,7843221097,87,0,FOLK
Hyun-wook,INDIA,Cashier,Playing An Instrument,4487294729,34,0,DISCO
Chan-young,USA,Representative,Poker and Cards,6738872876,65,0,FOLK
Chantara,JAPAN,Painter,Skiing ,8889023176,43,1,VOCAL
Preeda,KOREA,Historian,Martial Arts,8712334440,22,1,KPOP
Hyung-joon,USA,Writer,Rock collecting,9823401239,23,0,KPOP
Hyung-min,USA,Paramedic,Wine Tasting,8712334440,12,0,EDM
Hyo-joo,JAPAN,Economist,Playing Tennis,9983342555,34,1,DISCO
Chang-ho,KOREA,Dental Hygienist,Snorkeling,9002314567,45,0,VOCAL
